Info 0    [17:9:10.925] Starting TS Server
Info 1    [17:9:10.925] Version: 4.0.5
Info 2    [17:9:10.925] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/alex/Brain/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/9109acb8dbe891e10c5225f9e0693b6d/tscancellation*
Info 3    [17:9:10.925] Platform: linux NodeVersion: 15 CaseSensitive: true
Info 4    [17:9:10.925] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:9:11.579] Search path: /home/alex/Brain/themes/Zettels/assets/js
Info 6    [17:9:11.580] For info: /home/alex/Brain/themes/Zettels/assets/js/turbolinks.js :: No config files found.
Info 7    [17:9:11.582] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [17:9:12.546] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 964ms
Info 9    [17:9:12.546] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [17:9:12.546] 	Files (6)

Info 11   [17:9:12.546] -----------------------------------------------
Info 12   [17:9:13.375] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [17:9:13.375] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0ms
Info 14   [17:9:15.625] Before ensureProjectForOpenFiles:
Info 15   [17:9:15.625] After ensureProjectForOpenFiles:
Info 16   [17:9:15.625] got projects updated in background, updating diagnostics for /home/alex/Brain/themes/Zettels/assets/js/turbolinks.js
Info 17   [18:2:18.278] Search path: /home/alex/Brain/themes/Zettels/assets/js
Info 18   [18:2:18.279] For info: /home/alex/Brain/themes/Zettels/assets/js/fastsearch.js :: No config files found.
Info 19   [18:2:18.283] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 20   [18:2:18.302] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 19ms
Info 21   [18:2:18.302] Project '/dev/null/inferredProject2*' (Inferred)
Info 22   [18:2:18.302] 	Files (6)

Info 23   [18:2:18.302] -----------------------------------------------
Info 24   [18:2:18.479] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 25   [18:2:18.479] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 0ms
Info 26   [18:2:20.905] Before ensureProjectForOpenFiles:
